MAP_ROW,MAP_COL,FF_ROW,FF_COL,WIF_COL,WIF_ROW,DEFECT,MR,HR,HDI,MR2
1,61,1,3,19,41,OK,114.01,79.38,20.84,112.8
1,62,1,3,20,41,OK,102.97,78.96,21.2,112.56
1,63,1,3,21,41,OK,114.47,79.19,21.01,118.27
1,64,1,3,22,41,OK,120.52,79.21,21,144.43
1,65,1,3,23,41,OK,109.48,78.86,21.35,122.47
1,66,1,3,24,41,OK,108.73,78.74,21.04,125.45
1,67,1,4,1,41,OK,129.98,79.39,20.98,109.65
1,68,1,4,2,41,OK,106.72,79.33,21.03,117.3
1,69,1,4,3,41,OK,126.13,79.94,21.14,140.73
1,70,1,4,4,41,OK,113.61,79.58,21.28,132.81
1,71,1,4,5,41,OK,111.63,79.67,21.2,114.21
1,72,1,4,6,41,OK,114.25,79.51,21.07,111.86
1,73,1,4,7,41,OK,105.48,79.8,20.94,135.16
1,74,1,4,8,41,OK,113.89,79.76,20.92,124.94
1,75,1,4,9,41,OK,130.39,79.73,20.79,117.5
1,76,1,4,10,41,OK,110.74,79.57,20.74,116.48
1,77,1,4,11,41,OK,130.58,79.63,20.92,112.95
1,78,1,4,12,41,OK,121.43,79.65,21.12,136.04
1,79,1,4,13,41,OK,129.83,80.03,21.09,109.25
1,80,1,4,14,41,OK,110.4,79.77,20.88,129.39
1,81,1,4,15,41,OK,106.95,79.65,21.23,123.81
1,82,1,4,16,41,OK,117.13,79.48,21.49,128.68
1,83,1,4,17,41,OK,116.81,79.87,21.55,147.59
1,84,1,4,18,41,OK,134.35,79.72,21.07,133.06
1,85,1,4,19,41,OK,122.32,79.46,20.99,116.55
1,86,1,4,20,41,OK,112.76,79.73,21.32,113.49
1,87,1,4,21,41,OK,117.86,79.91,21.71,127.82
1,88,1,4,22,41,OK,105.74,79.66,21.08,112.79
1,89,1,4,23,41,OK,115.43,79.66,20.95,108.09
1,90,1,4,24,41,OK,117.31,79.72,21.4,114.23
1,91,1,5,1,41,OK,120.07,79.74,21.22,111.96
1,92,1,5,2,41,OK,105.45,79.58,21.17,128.32
1,93,1,5,3,41,OK,121.85,79.15,21.12,114.68
1,94,1,5,4,41,OK,133.68,79.15,21.39,115.49
1,95,1,5,5,41,OK,112.3,79.43,21.16,127.79
1,96,1,5,6,41,OK,126.76,79.34,21.25,139.27
1,97,1,5,7,41,OK,114.93,79.34,21.11,117.82
1,98,1,5,8,41,OK,110.45,79.33,21.35,111.27
1,99,1,5,9,41,OK,115.97,79.4,21.2,111.38
1,100,1,5,10,41,OK,117.01,79.05,21.24,128.33
1,101,1,5,11,41,OK,119.71,79.21,21.28,116.64
1,102,1,5,12,41,OK,122.71,79.67,21.46,115.31
1,103,1,5,13,41,OK,130.82,79.61,21.03,117.06
1,104,1,5,14,41,OK,120.18,79.25,21.35,110.63
1,105,1,5,15,41,OK,118.69,79.5,21.28,124.39
1,106,1,5,16,41,OK,103.69,79.49,21.18,124.18
1,107,1,5,17,41,OK,116.65,79.77,21.33,117.91
1,108,1,5,18,41,OK,125.12,80,21.21,117.08
1,109,1,5,19,41,OK,123.88,79.61,20.94,115.84
1,110,1,5,20,41,OK,119.85,79.66,21.21,103.88
1,111,1,5,21,41,OK,135.13,79.45,21.53,113.32
1,112,1,5,22,41,OK,100.03,78.9,21.5,115.85
1,113,1,5,23,41,OK,115.49,79.08,21.38,101.78
1,114,1,5,24,41,OK,125.89,79.18,21.25,106.13
1,115,1,6,1,41,OK,117.81,79.05,21.51,131.14
1,116,1,6,2,41,OK,108.07,78.77,21.57,104.76
1,117,1,6,3,41,OK,116.97,78.75,21.72,130.13
1,118,1,6,4,41,OK,115.63,78.73,21.69,114.75
1,119,1,6,5,41,OK,169.04,79.03,21.88,122.3
1,120,1,6,6,41,OK,109.96,79.06,21.63,107.47
2,60,1,3,18,42,OK,107.83,79.18,20.98,107.98
2,61,1,3,19,42,OK,109.99,79.16,21.02,133.94
2,62,1,3,20,42,OK,115.14,79.08,20.89,112.98
2,63,1,3,21,42,OK,141.28,79.32,21.27,125.33
2,64,1,3,22,42,OK,121.47,78.82,21.14,105.37
2,65,1,3,23,42,OK,122.99,78.29,21.13,134.42
2,66,1,3,24,42,OK,115.56,78.74,21.1,133.64
2,67,1,4,1,42,OK,97.77,79.32,21.18,118.55
2,68,1,4,2,42,OK,106.61,79.54,21.04,112.1
2,69,1,4,3,42,OK,129.29,79.49,21.07,111.43
2,70,1,4,4,42,OK,118.36,79.24,21.33,129.85
2,71,1,4,5,42,OK,121.56,79.73,21.18,127.35
2,72,1,4,6,42,OK,109.94,79.65,21.1,125.72
2,73,1,4,7,42,OK,118.9,79.51,21.03,126.04
