MAP_ROW,MAP_COL,FF_ROW,FF_COL,WIF_COL,WIF_ROW,DEFECT,MR,HR,HDI,MR2
1,61,1,3,19,41,OK,57.03,70.8,19.8,144.61
1,62,1,3,20,41,OK,56.0,81.56,15.51,123.52
1,63,1,3,21,41,OK,54.33,83.46,23.39,129.12
1,64,1,3,22,41,OK,50.47,88.29,24.56,143.43
1,65,1,3,23,41,OK,148.75,70.08,21.93,158.13
1,66,1,3,24,41,OK,144.23,75.94,17.45,132.17
1,67,1,4,1,41,OK,146.44,76.07,15.06,155.55
1,68,1,4,2,41,OK,99.69,76.12,21.64,154.28
1,69,1,4,3,41,OK,101.19,75.04,20.69,148.45
1,70,1,4,4,41,OK,55.64,84.36,17.21,139.82
1,71,1,4,5,41,OK,66.65,71.11,19.19,150.75
1,72,1,4,6,41,OK,96.48,80.16,24.18,150.69
1,73,1,4,7,41,OK,78.47,85.62,17.82,125.44
1,74,1,4,8,41,OK,85.68,72.91,18.09,142.94
1,75,1,4,9,41,OK,95.44,81.67,21.87,135.75
1,76,1,4,10,41,OK,105.56,86.71,24.15,153.8
1,77,1,4,11,41,OK,125.45,76.95,15.29,136.28
1,78,1,4,12,41,OK,52.4,75.61,23.39,104.94
1,79,1,4,13,41,OK,50.72,79.08,19.1,127.18
1,80,1,4,14,41,OK,66.36,84.72,23.02,123.37
1,81,1,4,15,41,OK,70.43,76.58,22.37,134.4
1,82,1,4,16,41,OK,63.77,78.02,16.66,121.61
1,83,1,4,17,41,OK,65.64,73.39,17.25,123.21
1,84,1,4,18,41,OK,104.64,72.05,19.15,156.91
1,85,1,4,19,41,OK,133.27,82.36,16.44,108.32
1,86,1,4,20,41,OK,86.2,82.33,15.89,115.01
1,87,1,4,21,41,OK,55.34,88.35,18.17,142.89
1,88,1,4,22,41,OK,140.7,86.85,24.76,134.51
1,89,1,4,23,41,OK,132.55,77.0,16.05,138.5
1,90,1,4,24,41,OK,128.11,81.26,17.08,108.3
1,91,1,5,1,41,OK,149.02,79.89,23.69,135.46
1,92,1,5,2,41,OK,109.4,84.42,19.46,108.07
1,93,1,5,3,41,OK,66.35,89.14,22.43,117.54
1,94,1,5,4,41,OK,79.81,71.13,21.45,144.33
1,95,1,5,5,41,OK,138.38,79.86,16.14,133.97
1,96,1,5,6,41,OK,96.12,85.86,19.12,133.11
1,97,1,5,7,41,OK,134.37,80.4,23.35,128.21
1,98,1,5,8,41,OK,52.28,88.48,21.54,100.17
1,99,1,5,9,41,OK,70.89,79.55,20.54,144.75
1,100,1,5,10,41,OK,120.4,72.03,18.35,102.89
1,101,1,5,11,41,OK,74.28,87.99,18.81,138.39
1,102,1,5,12,41,OK,125.35,74.37,18.18,151.77
1,103,1,5,13,41,OK,62.61,73.66,18.58,155.85
1,104,1,5,14,41,OK,72.5,81.23,21.09,113.13
1,105,1,5,15,41,OK,107.96,71.83,22.7,125.63
1,106,1,5,16,41,OK,69.29,84.04,17.95,106.64
1,107,1,5,17,41,OK,120.34,83.33,18.54,132.81
1,108,1,5,18,41,OK,145.26,87.33,24.79,145.86
1,109,1,5,19,41,OK,74.25,87.53,21.14,117.96
1,110,1,5,20,41,OK,83.41,81.44,18.02,100.52
1,111,1,5,21,41,OK,133.8,74.04,23.66,138.78
1,112,1,5,22,41,OK,131.97,70.58,24.36,118.21
1,113,1,5,23,41,OK,109.39,89.0,23.23,114.92
1,114,1,5,24,41,OK,102.4,81.73,16.25,108.46
1,115,1,6,1,41,OK,72.14,80.35,19.64,150.34
1,116,1,6,2,41,OK,71.78,77.8,19.84,153.46
1,117,1,6,3,41,OK,135.09,74.54,17.19,120.24
1,118,1,6,4,41,OK,110.09,70.89,21.55,115.86
1,119,1,6,5,41,OK,84.73,83.29,15.98,142.4
1,120,1,6,6,41,OK,70.12,88.5,19.1,145.36
